TestId,Date,Time,Code,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
KMSWRjx9MP3QVgYo9i1v,5/3/2024,13:55:46,BASEB13,NA,Countermovement Jump,,,882.185,0.3275,227.9571,-0.2338,15886.7925,-10965.7032,2564,290.642,2046.7358,232.0076,2564,290.642,2024.04,229.4349,2572,291.5488,0.263,46.2214,0.106,18.6292,0.2,35.1494,0.542,0.569,122.5914,229.6365,622.1765,352.2279,1.8732,-0.8636,-1.3725,1.6124,2.5349,2.6364,-1560.8439,-17.3568,-2311.3368,-25.7023,2872.5581,31.9432,51.2209,4606.1506,9.5944,1405,1159,14.4095,1170.8302,875.9057,8.3204,1393,1179,3.4915,1047.355,976.685,-2.019,7783.0189,8103.7736,25.2866,6.7821,N/A,-15541.9334,8772,1254.3647,994.3493,2.166,4481,4291,1.5544,636.9314,617.4333,N/A,0.9525,0.5756,216.103,2.4031,1.3632,406.0735,4.5156,2.5536
RgmEm4QbCjlM1bhXDL3L,5/3/2024,13:55:36,BASEB13,NA,Countermovement Jump,,,879.357,0.3397,231.4283,-0.2105,18562.5,-12694.6426,2672,303.8584,2100.25,238.8393,2672,303.8584,2118.8717,240.9569,2689,305.7916,0.282,49.9115,0.096,16.9912,0.187,33.0973,0.532,0.565,116.3017,233.1022,598.262,349.404,2.0043,-0.8192,-1.3067,1.6387,2.5818,2.6743,-1517.6296,-16.9305,-2192.1206,-24.455,3044.4711,33.9638,54.4675,4882.3999,1.0479,1350,1322,-0.5476,1044.375,1055.875,1.0785,1359,1330,0.8336,1068.2674,1050.6043,0.1122,9291.6667,9270.8333,-1.094,1.6495,N/A,-26878.5126,9049,1215.056,1029.0474,9.1391,4938,4111,13.5719,689.9809,525.0751,N/A,0.9416,0.6013,200.72,2.2392,1.2974,397.542,4.4349,2.6005
IFZopxF29RF1QCrVd8UO,5/1/2024,11:58:11,BASEB13,NA,Countermovement Jump,,,888.147,0.3173,225.8942,-0.2392,14589.2857,-10589.4746,2533,285.2005,1975.1518,222.3902,2531,284.9753,1979.8173,222.9155,2547,286.7769,0.294,47.8827,0.112,18.241,0.208,33.8762,0.529,0.614,120.918,228.3164,633.4415,349.2345,1.8882,-0.8544,-1.3528,1.6075,2.4951,2.6054,-1498.5487,-16.5522,-2129.3252,-23.5194,2787.7442,30.7919,48.7928,4417.4523,3.1213,1305,1226,5.8354,1045.2054,929.9464,2.8661,1310,1237,2.4046,1013.7115,966.1058,-5.6304,6883.9286,7705.3571,11.1033,4.6939,N/A,-20521.4435,9720,1385.396,1094.4134,7.6337,5231,4489,11.9998,775.8202,609.5758,N/A,0.8616,0.5168,220.3905,2.4343,1.3356,413.051,4.5623,2.5219
ijp8pDB5ckrKfVpuQGK3,5/1/2024,11:58:03,BASEB13,NA,Countermovement Jump,,,887.303,0.3238,227.9739,-0.2307,14836.3636,-10956.5855,2528,284.9083,1947.2,219.4515,2524,284.4575,2002.878,225.7265,2559,288.402,0.278,46.8803,0.11,18.5497,0.205,34.57,0.525,0.593,115.7637,229.9394,625.2035,345.7031,1.9863,-0.8186,-1.2921,1.6206,2.5205,2.6282,-1412.7323,-15.6191,-1997.9903,-22.0897,2844.7742,31.4518,49.6199,4488.0654,3.8827,1311,1213,9.0311,1061.5273,885.6727,3.5561,1325,1234,0.9698,1011.1512,991.7268,-10.4167,6645.4545,8190.9091,16.6927,1.9398,N/A,-14665.5465,9531,1251.3271,1074.1539,-4.3962,4556,4975,-15.6294,527.8764,723.4507,N/A,0.8853,0.546,213.367,2.359,1.2799,411.8365,4.5533,2.5422
X21XQuyOjjfjvxOoSs0r,5/1/2024,11:57:53,BASEB13,NA,Countermovement Jump,,,886.697,0.3316,230.5579,-0.2161,15803.7383,-11923.7501,2577,290.6292,1953.1215,220.2693,2573,290.178,2071.8718,233.6618,2611,294.4636,0.283,48.3761,0.107,18.2906,0.195,33.3333,0.527,0.585,113.2559,232.3751,613.4135,345.631,2.0518,-0.8146,-1.2638,1.6267,2.5508,2.6493,-1396.848,-15.4541,-1989.4458,-22.0103,2956.0321,32.7042,52.0788,4707.2448,3.1481,1327,1246,6.6493,1041.4953,911.6262,2.7959,1342,1269,0.9265,1045.5333,1026.3385,-9.0479,7186.9159,8616.8224,12.5836,1.8462,N/A,-24569.4059,8245,1323.713,929.8554,0.4488,4141,4104,21.4036,803.5174,520.1956,N/A,0.9009,0.5669,208.1325,2.3027,1.253,405.281,4.4838,2.5709
JzAA68tnXBufj4yC9vUE,4/26/2024,15:08:58,BASEB13,NA,Countermovement Jump,,,885.374,0.3152,224.4304,-0.2135,19418.3673,-13029.7818,2782,314.2175,2069.9388,233.7926,2780,313.9916,2097.5054,236.9061,2785,314.5563,0.282,49.8233,0.098,17.3145,0.186,32.8622,0.516,0.566,115.1253,226.8254,593.397,341.9508,1.9702,-0.8393,-1.2929,1.6057,2.4867,2.5852,-1512.769,-16.7616,-2110.4278,-23.3837,2927.6827,32.4389,51.2358,4624.1421,6.259,1477,1303,10.9458,1148.2551,921.6837,5.2065,1465,1320,2.4135,1074.0645,1023.4409,-2.1545,9500,9918.3673,19.831,4.7308,N/A,-26173.3331,8565,1336.2792,967.3878,1.5995,4351,4214,14.3507,764.0226,572.2566,N/A,0.9117,0.5568,201.892,2.237,1.2756,391.505,4.3379,2.5132
ppJcMr6YsX7PkjZtAHRz,4/26/2024,15:08:48,BASEB13,NA,Countermovement Jump,,,884.392,0.3294,229.1805,-0.2161,18255.102,-12398.1087,2679,302.92,2071.5102,234.2299,2679,302.92,2056.5765,232.5413,2679,302.92,0.27,47.8723,0.098,17.3759,0.196,34.7518,0.525,0.564,115.4301,231.0677,606.509,346.4978,2.0018,-0.8188,-1.2919,1.6336,2.5422,2.6403,-1491.9277,-16.549,-2110.4003,-23.4093,2936.5858,32.5737,51.1253,4609.0555,5.6364,1415,1264,8.8538,1127.4592,944.051,5.1138,1408,1271,1.4114,1042.801,1013.7755,-5.422,8632.6531,9622.449,16.3741,2.8098,N/A,-25979.7269,9530,1329.0829,1077.5765,-3.148,4615,4915,14.0132,757.6647,571.4181,N/A,0.9309,0.584,202.1005,2.2418,1.2804,404.4085,4.4858,2.5631
IxlNndzmygBEJLmYCHuD,4/23/2024,15:23:21,BASEB13,NA,Countermovement Jump,,,887.014,0.3305,230.2453,-0.1909,18494.8454,-14002.3768,2673,301.3481,2000.2062,225.4988,2670,301.0099,2186.7753,246.5322,2738,308.6761,0.271,49.6337,0.097,17.7656,0.178,32.6007,0.525,0.546,107.0721,232.6705,583.6715,339.7427,2.173,-0.7752,-1.2018,1.6123,2.5464,2.6379,-1360.6683,-15.0484,-1932.6872,-21.3747,3083.1914,34.0988,55.2867,4998.9874,5.2434,1405,1265,14.2676,1142.7938,857.4124,3.5793,1418,1320,1.2789,1107.3708,1079.4045,-11.3712,8195.8763,10298.9691,25.1537,2.5455,N/A,-28242.5571,10211,1206.2322,1151.1656,-7.2177,4737,5474,6.2361,640.7268,565.5055,N/A,0.9615,0.6053,193.1125,2.1357,1.1842,390.559,4.3194,2.5732
rWvejnQ3A7xQ50S7amDo,4/19/2024,14:57:11,BASEB13,NA,Countermovement Jump,,,887.138,0.3404,233.6898,-0.2202,19040.404,-12608.9701,2777,313.0291,2096.5455,236.3269,2775,312.8036,2133.7553,240.5212,2785,313.9309,0.286,49.9127,0.099,17.2775,0.188,32.8098,0.545,0.573,118.7783,235.7301,609.117,354.5084,1.9846,-0.8525,-1.3266,1.6634,2.5841,2.6798,-1560.1456,-17.2521,-2246.0711,-24.8371,3087.7477,34.1444,53.2291,4813.6187,4.7207,1453,1322,4.6551,1097.0707,999.4747,4.4883,1455,1330,1.0959,1078.5691,1055.1862,-0.9019,9434.3434,9606.0606,8.9441,2.1869,N/A,-21526.5411,8923,1254.1705,1005.8187,-3.9561,4285,4638,16.0291,727.6012,526.5693,N/A,0.9511,0.594,206.605,2.2846,1.3135,402.512,4.451,2.6067
mCIuT5LqL9rjLKxmT0Rr,4/16/2024,15:22:58,BASEB13,NA,Countermovement Jump,,,894.474,0.3359,234.0813,-0.2155,15100,-11820.2608,2547,284.7484,1910.2091,213.5567,2547,284.7484,2078.4343,232.3639,2614,292.2388,0.265,46.2478,0.11,19.1972,0.198,34.555,0.531,0.573,110.8919,235.6806,622.0705,346.5725,2.1253,-0.781,-1.2244,1.6364,2.5672,2.6722,-1319.842,-14.4752,-1859.2008,-20.3905,2986.8998,32.7583,52.8155,4815.7064,4.2795,1328,1219,9.2417,1043.3727,866.8364,3.9021,1358,1256,0.1021,1040.2778,1038.1566,-5.1174,7163.6364,7936.3636,17.0139,0.2379,N/A,-23840.4351,8517,1223.1853,952.1797,-6.8451,3967,4550,0.8781,616.9632,606.2221,N/A,0.9267,0.5862,209.284,2.2953,1.2162,412.7865,4.5272,2.5848
i4jp3o0uZdfNjAidcR40,4/16/2024,15:22:45,BASEB13,NA,Countermovement Jump,,,893.337,0.3348,233.3976,-0.2085,17096.1538,-12827.8532,2674,299.3271,2013.2885,225.3672,2674,299.3271,2154.1243,241.1323,2719,304.3644,0.287,49.8264,0.104,18.0556,0.185,32.1181,0.53,0.576,115.5775,234.5702,608.322,350.1476,2.0295,-0.8135,-1.2725,1.6334,2.563,2.659,-1435.6474,-15.7653,-2031.8199,-22.312,3082.0872,33.8453,54.445,4957.9741,5.5348,1411,1263,12.0001,1127.4423,885.8462,4.2295,1417,1302,1.6579,1094.9189,1059.2054,-8.2115,7846.1538,9250,21.5679,3.2867,N/A,-28988.3745,9552,1232.1894,1069.2493,-3.1616,4625,4927,8.773,670.1449,562.0445,N/A,0.9201,0.5813,208.4845,2.2894,1.2692,399.8375,4.3907,2.5759
C9bHFXHpCPUmnq6dvowE,4/11/2024,15:23:45,BASEB13,NA,Countermovement Jump,,,888.77,0.334,231.9162,-0.2038,19708.3333,-13683.9223,2789,313.8045,2099.0417,236.1738,2787,313.5794,2166.2747,243.7385,2802,315.2672,0.275,49.7288,0.096,17.3599,0.182,32.9114,0.539,0.553,115.2331,233.8819,596.193,349.1149,2.0296,-0.8261,-1.2841,1.6456,2.5598,2.6538,-1512.3257,-16.6926,-2172.4797,-23.9792,3099.6184,34.2127,54.1123,4902.4865,4.7004,1459,1328,13.9875,1196.3229,902.7188,3.9971,1457,1345,-0.2029,1080.9396,1085.3352,-22.9387,7593.75,12114.5833,24.8099,-0.3623,N/A,-21372.4742,9979,1225.6086,1122.7877,-7.626,4609,5370,12.8668,691.6528,533.9557,N/A,0.9747,0.6039,200.555,2.2137,1.2719,395.638,4.3669,2.5815
VHQD9thFMQs8JeDqz78w,4/8/2024,15:30:52,BASEB13,NA,Countermovement Jump,,,887.177,0.3374,232.6934,-0.1935,23146.0674,-15195.3649,2940,331.3882,2261.7079,254.9331,2935,330.8246,2214.8182,249.6478,2955,333.079,0.243,47.8346,0.089,17.5197,0.176,34.6457,0.528,0.508,121.2737,235.1158,591.4915,356.3896,1.9387,-0.8642,-1.3587,1.6815,2.573,2.6718,-1704.4865,-18.8474,-2608.1939,-28.8402,3199.0773,35.3739,54.9816,4972.3183,6.5077,1563,1372,14.6971,1297.0562,964.6517,4.6362,1546,1409,-0.9441,1096.9545,1117.8636,-19.3204,9337.0787,13808.9888,25.8795,-1.8074,N/A,-29246.6164,7114,1140.0918,801.8693,6.6348,3793,3321,-8.9257,519.1651,620.9267,N/A,1.0394,0.6642,200.2325,2.2141,1.341,391.259,4.3264,2.5998
SpgZiOKz7Ir9LfXAlHI1,4/4/2024,15:24:42,BASEB13,NA,Countermovement Jump,,,885.072,0.3354,231.4413,-0.2052,17782.1782,-13099.8067,2688,303.7041,2007.4455,226.8116,2688,303.7041,2120.4681,239.5814,2694,304.382,0.261,47.4545,0.101,18.3636,0.188,34.1818,0.529,0.55,112.4522,233.5835,601.8215,346.0357,2.0772,-0.8177,-1.2606,1.6292,2.5653,2.6614,-1433.5485,-15.8892,-2009.6816,-22.275,3026.9037,33.5497,54.238,4893.4299,2.753,1381,1307,6.3555,1067.5149,939.9307,2.5984,1382,1312,-0.307,1056.9787,1063.4894,-9.7996,8019.802,9762.3762,12.0786,-0.5843,N/A,-30891.1562,9504,1187.6057,1073.8109,-4.3561,4545,4959,-7.4598,549.5065,638.0992,N/A,0.9618,0.6098,201.8445,2.2372,1.2464,399.977,4.4333,2.589
VPxHz1OfO91OlaQMWHy4,3/28/2024,15:23:30,BASEB13,NA,Countermovement Jump,,,896.084,0.3155,227.2636,-0.1838,27657.8947,-16222.226,2981,332.6697,2493.9605,278.3177,3026,337.6916,2231.3059,249.0063,2976,332.1117,0.282,53.4091,0.076,14.3939,0.17,32.197,0.523,0.528,120.3576,228.4547,569.249,348.8123,1.8981,-0.7732,-1.3217,1.6299,2.488,2.5879,-1742.4605,-19.0758,-2769.682,-30.3215,3130.009,34.2662,54.0693,4938.8997,0.727,1524,1502,1.5706,1266.5658,1227.3947,0.2016,1491,1485,0.7097,1123.5706,1107.7353,0.666,13921.0526,13736.8421,3.0937,1.3936,N/A,-22952.8098,8519,1068.5125,950.6921,-10.5764,3809,4710,0.2353,535.5132,532.9993,N/A,0.9905,0.5975,188.46,2.0632,1.3176,380.789,4.1687,2.501
V4kTLHbl6QptXIzjWKfR,3/26/2024,15:30:04,BASEB13,NA,Countermovement Jump,,,891.504,0.3339,232.585,-0.1835,26518.5185,-16369.1886,3004,336.9587,2396.4568,268.8105,3014,338.0804,2226.6322,249.7613,3003,336.8465,0.266,51.0557,0.081,15.547,0.174,33.3973,0.522,0.521,120.7927,233.7978,581.924,354.5905,1.9355,-0.8096,-1.3337,1.6787,2.5593,2.6611,-1719.3003,-18.919,-2456.6757,-27.033,3213.5524,35.3615,55.3192,5027.25,0.0664,1508,1506,3.3779,1238.7037,1157.7531,0.1665,1504,1499,-0.3376,1109.5575,1117.0747,-10.7076,11839.5062,14679.0123,6.661,-0.6773,N/A,-51873.511,7460,1277.5769,836.7882,-1.8767,3660,3800,13.2816,723.6298,553.9471,N/A,1.0019,0.6408,193.0045,2.1238,1.3292,388.9195,4.2796,2.5727
AY3lEVG0L5iRliubHANH,3/21/2024,15:24:28,BASEB13,NA,Countermovement Jump,,,886.201,0.3342,231.311,-0.1714,29407.8947,-18235.6564,3126,352.7416,2441.8947,275.5464,3131,353.3059,2320.9379,261.8975,3124,352.516,0.254,51.7312,0.076,15.4786,0.161,32.7902,0.525,0.491,117.0937,232.5391,559.6625,349.6329,1.9859,-0.7931,-1.3005,1.6806,2.5605,2.6644,-1707.961,-18.9067,-2689.8707,-29.7761,3335.643,36.9246,59.6245,5386.2714,-0.6068,1556,1575,3.0197,1257.8158,1184.0789,-0.4481,1555,1569,1.1489,1173.8012,1147.1366,7.2931,15776.3158,13631.5789,5.8167,2.2397,N/A,-52178.1838,8023,1396.0316,905.3251,-4.0259,3850,4173,15.0283,802.9158,593.1158,N/A,1.0692,0.6806,184.445,2.0418,1.2962,375.2175,4.1536,2.5741
f6SGaxqHYPVutzvzT3PR,3/19/2024,15:25:07,BASEB13,NA,Countermovement Jump,,,904.712,0.3275,233.7841,-0.1853,25506.0241,-16251.2521,3011,332.8131,2384.012,263.5106,3030,334.9132,2277.4294,251.7298,3008,332.4815,0.252,49.901,0.083,16.4356,0.17,33.6634,0.511,0.505,121.7034,234.8475,585.443,356.5509,1.9297,-0.8092,-1.322,1.6424,2.535,2.6273,-1702.9887,-18.4659,-2651.6056,-28.752,3235.5779,35.0841,55.4255,5111.5304,-2.9043,1471,1559,-0.7525,1183.0361,1200.9759,-2.4601,1467,1541,-2.9256,1105.4,1172.0294,-20.9258,10084.3373,15421.6867,-1.2779,-5.6894,N/A,-52798.6788,8005,1304.3447,884.812,3.4853,4142,3863,-13.2765,565.587,738.7578,N/A,1.0119,0.6486,196.7945,2.1339,1.3197,388.6485,4.2142,2.5465
XDgNSmwTB1iWK5PYQOJv,3/14/2024,12:28:58,BASEB13,NA,Countermovement Jump,,,894.905,0.3179,227.8307,-0.2077,18156.8627,-13121.9476,2726,304.6133,2072.951,231.6392,2725,304.5016,2025.9307,226.385,2742,306.4012,0.262,46.2898,0.102,18.0212,0.202,35.689,0.516,0.566,119.2137,229.8127,621.0775,349.0264,1.9277,-0.8288,-1.3195,1.6657,2.4975,2.6168,-1520.0947,-16.6634,-2045.2079,-22.4197,2904.4881,31.8392,49.2322,4491.1498,4.4404,1423,1302,8.5135,1124.7157,948.2353,4.2305,1429,1313,0.9857,1022.9505,1002.9802,3.1317,9362.7451,8794.1176,15.7247,1.9695,N/A,-29552.3857,8043,1244.4157,898.7546,16.2004,4673,3370,42.4867,886.5636,357.8521,N/A,0.9117,0.5617,210.494,2.3074,1.3068,410.5835,4.5008,2.5192
C9eKAM508n1yfAUDqg9A,3/14/2024,12:28:37,BASEB13,NA,Countermovement Jump,,,899.911,0.3201,229.8897,-0.2203,18049.0196,-12482.1792,2750,305.5858,2148.5098,238.7469,2752,305.808,2076.2551,230.7178,2750,305.5858,0.264,46.9751,0.102,18.1495,0.196,34.8754,0.531,0.562,126.4046,231.9259,626.504,358.3305,1.8348,-0.8665,-1.3908,1.6206,2.506,2.6126,-1649.6211,-17.9826,-2187.6707,-23.848,2933.7122,31.9806,50.7942,4659.5533,2.4709,1410,1342,5.8591,1137.1961,1011.3137,2.4,1408,1342,-0.7755,1030.0765,1046.1786,-7.7675,8323.5294,9725.4902,11.1646,-1.5241,N/A,-20364.3479,7014,1251.9515,779.4104,-12.3752,3073,3941,6.7087,667.9706,583.9809,N/A,0.9448,0.5696,218.1955,2.3786,1.3779,408.3085,4.451,2.5282
isphzCDhHql1b2IDb63K,3/7/2024,15:24:27,BASEB13,NA,Countermovement Jump,,,901.838,0.3479,240.1679,-0.196,25678.5714,-15626.1081,3063,339.6397,2427.7262,269.1976,3063,339.6397,2279.8276,252.7979,3062,339.5288,0.248,49.0119,0.084,16.6008,0.174,34.3874,0.542,0.506,127.0811,241.2862,601.0415,368.3673,1.8987,-0.8642,-1.3851,1.6999,2.6125,2.7082,-1829.1619,-19.8972,-2919.2809,-31.7553,3342.6077,36.3602,56.9404,5234.5545,4.1463,1595,1468,10.2903,1338.7738,1088.9524,3.919,1591,1471,-0.2077,1137.546,1142.2816,-21.0014,10142.8571,15535.7143,18.9316,-0.3755,N/A,-26841.899,8431,1209.1459,934.8686,-12.8455,3674,4757,20.1007,726.0964,483.0495,N/A,1.0711,0.6875,202.8355,2.2064,1.3824,398.206,4.3316,2.6247
CMEPDQCEFQVdblTtkheG,3/5/2024,15:23:00,BASEB13,NA,Countermovement Jump,,,894.02,0.3543,240.2929,-0.2081,21511.6279,-13176.7976,2742,306.7045,2466.2674,275.8627,2840,317.6663,2114.4467,236.51,2774,310.2839,0.262,48.0734,0.086,15.7798,0.197,36.1468,0.546,0.545,134.2523,241.7826,629.0425,376.0348,1.801,-0.8242,-1.4802,1.6956,2.6367,2.7363,-1897.8014,-20.8244,-3113.7353,-34.1667,3129.9346,34.3445,53.5681,4881.8479,-20.4225,1130,1710,-1.3385,1216.6279,1249.6395,-1.8025,1362,1412,-2.791,1027.7157,1086.731,-10.1622,9662.7907,11848.8372,-2.5705,-5.409,N/A,-41215.4865,8764,1069.8474,980.2913,-12.9165,3816,4948,-16.4043,447.1734,622.6741,N/A,1.0018,0.6502,211.138,2.3168,1.4731,417.9045,4.5856,2.6531
Kq5GZ6YGfruNcJIxXTTZ,3/5/2024,15:22:51,BASEB13,NA,Countermovement Jump,,,894.872,0.3326,233.0121,-0.207,20627.6596,-13646.1451,2825,315.6876,2225.9149,248.7411,2870,320.7163,2196.2889,245.4305,2857,319.2635,0.248,47.5096,0.094,18.0077,0.18,34.4828,0.53,0.522,124.124,235.6405,604.9595,359.7646,1.8984,-0.8812,-1.3805,1.6373,2.5544,2.6437,-1713.0865,-18.7796,-2647.9705,-29.0283,3124.7402,34.2548,53.7808,4905.9043,2.7178,1474,1396,16.6912,1298.7234,927.1915,7.1754,1531,1326,0.8939,1107.9611,1088.3278,-18.9273,8361.7021,12265.9574,28.8398,1.8384,N/A,-25481.7202,7335,1277.8713,819.6703,-15.9373,3083,4252,-6.624,596.6124,681.259,N/A,1.0153,0.6371,208.242,2.2828,1.3607,396.7175,4.349,2.5832
UZfUnUt7Cc7lJ7VxeO0d,2/29/2024,15:25:10,BASEB13,NA,Countermovement Jump,,,893.378,0.3297,231.6213,-0.2062,22681.8182,-14016.9422,2890,323.4913,2367.3182,264.9851,2891,323.6032,2124.9255,237.8529,2891,323.6032,0.252,47.7273,0.088,16.6667,0.188,35.6061,0.526,0.528,128.6817,232.9624,608.2165,361.6442,1.8104,-0.8461,-1.4184,1.6696,2.5434,2.6454,-1796.9212,-19.7316,-2801.1149,-30.7585,3064.3217,33.6487,52.0376,4738.9606,1.9716,1474,1417,6.8518,1264.7614,1102.5568,1.7641,1471,1420,0.1432,1063.984,1060.9415,-13.0261,9863.6364,12818.1818,12.983,0.2822,N/A,-27087.7118,9374,1676.603,1049.2759,-2.0269,4592,4782,25.3288,1050.6333,625.9697,N/A,0.9962,0.6244,207.299,2.2763,1.413,400.9175,4.4024,2.5581
pg7VFoB7IgIIANZfOZ38,2/27/2024,15:23:10,BASEB13,NA,Countermovement Jump,,,894.717,0.3395,235.3766,-0.2127,20588.8889,-12901.7398,2744,306.6892,2417.2667,270.1711,2749,307.248,2088.1117,233.3824,2755,307.9186,0.26,47.532,0.09,16.4534,0.197,36.0146,0.535,0.547,136.077,236.4528,629.3135,372.5297,1.7376,-0.8257,-1.4946,1.6716,2.5808,2.6896,-1870.5644,-20.5095,-3679.4312,-40.3426,3043.1004,33.3657,53.1206,4844.8399,-2.9465,1334,1415,-5.7337,1139.3333,1277.9333,-1.343,1359,1396,0.4444,1048.6954,1039.4162,2.9682,10600,9988.8889,-10.9085,0.8555,N/A,-21381.187,8072,1246.8565,902.1847,13.3548,4575,3497,43.8591,896.858,349.9985,N/A,0.9781,0.6206,216.6015,2.3749,1.492,412.712,4.5251,2.5926
XNKxijOInt5Mc71Bvck6,2/27/2024,15:23:02,BASEB13,NA,Countermovement Jump,,,895.39,0.3293,232.0056,-0.1759,23454.5455,-16703.3624,2938,328.1252,2197.2273,245.3933,2938,328.1252,2283.3892,255.0162,2958,330.3588,0.247,49.2032,0.088,17.5299,0.167,33.2669,0.516,0.502,113.5052,233.2399,575.0695,346.7451,2.0549,-0.7898,-1.2482,1.6372,2.5419,2.6306,-1514.9256,-16.5977,-2129.5112,-23.3312,3238.2772,35.479,56.3541,5143.6149,6.1266,1559,1379,17.1528,1287.0568,910.1705,5.6119,1562,1396,-0.3593,1137.5928,1145.7964,-8.4302,10738.6364,12715.9091,29.4733,-0.6536,N/A,-44445.3696,9254,1210.4796,1033.5161,-9.8768,4170,5084,-23.6443,462.1349,748.3447,N/A,1.0279,0.656,192.2995,2.1069,1.2436,382.77,4.1937,2.5554
4mtoEH2scTOI7JJzj4MY,2/20/2024,15:21:56,BASEB13,NA,Countermovement Jump,,,898.291,0.3327,233.9566,-0.2027,21095.7447,-14378.1026,2915,324.5051,2221.0532,247.2532,2910,323.9485,2195.232,244.3787,2927,325.841,0.251,47.7186,0.094,17.8707,0.181,34.4106,0.523,0.526,123.3111,236.1838,606.525,359.495,1.9153,-0.8447,-1.3616,1.6657,2.555,2.662,-1661.8999,-18.1492,-2212.2532,-24.1594,3153.6799,34.4405,54.2644,4968.9324,-1.5808,1432,1478,6.0988,1178.2553,1042.7979,-1.0591,1448,1479,-1.1997,1084.4475,1110.7845,-12.6576,9212.766,11882.9787,11.6402,-2.3824,N/A,-60651.4125,9247,1181.6271,1029.3992,-11.8849,4074,5173,6.3799,628.5071,553.12,N/A,0.9943,0.6325,207.7505,2.2688,1.3466,398.7745,4.3549,2.5793
6MkaxtWxYv51TqHMiwGC,2/20/2024,15:21:46,BASEB13,NA,Countermovement Jump,,,897.575,0.3419,236.9887,-0.1769,22066.6667,-16456.8232,2912,324.4297,2226.8333,248.0944,2912,324.4297,2296.5917,255.8663,2986,332.6741,0.227,46.7078,0.09,18.5185,0.169,34.7737,0.531,0.486,118.5987,237.8723,588.943,356.4711,2.0057,-0.8205,-1.2965,1.6771,2.5902,2.6839,-1590.9997,-17.3887,-2496.1748,-27.2818,3328.1492,36.3748,57.4697,5258.2443,4.2582,1518,1394,17.2687,1305.6889,921.1444,2.1433,1525,1461,-1.027,1136.503,1160.0888,-27.4924,8000,14066.6667,29.7537,-1.9942,N/A,-34735.8851,8848,1164.506,985.7672,-5.2441,4192,4656,-1.2429,575.0164,589.4896,N/A,1.0926,0.7036,199.3805,2.1791,1.2962,389.5625,4.2577,2.5998
xFa24gGpq0nSt5l2Nk01,2/15/2024,15:12:46,BASEB13,NA,Countermovement Jump,,,907.141,0.3362,237.4903,-0.216,17590.4762,-12752.028,2755,303.7014,2113.4952,232.9842,2755,303.7014,2093.2488,230.7523,2756,303.8116,0.247,44.6655,0.105,18.9873,0.201,36.3472,0.528,0.553,125.7202,239.7717,643.077,365.4919,1.9072,-0.8737,-1.3749,1.6571,2.5683,2.6716,-1624.952,-17.5725,-2251.9015,-24.3525,3026.134,32.7252,51.3274,4746.2945,1.9238,1404,1351,9.5959,1158.1524,955.3429,1.8142,1403,1353,-0.7451,1038.8259,1054.4229,-13.6979,7590.4762,10000,17.6702,-1.4679,N/A,-30682.0362,7198,1184.5687,793.4819,-13.337,3119,4079,39.1879,824.3883,360.1804,N/A,0.9548,0.6079,220.97,2.3896,1.3596,422.107,4.5647,2.5929
